quarter,series,region,label,value
2017Q2,urban,Mangistau,Маңғыстау,1236.0
2017Q2,urban,Pavlodar,Павлодар,14170.0
2017Q2,urban,North Kazakhstan,Солтүстік Қазақстан,35254.0
2017Q2,urban,East Kazakhstan,Шығыс Қазақстан,28911.0
2017Q2,urban,Astana,Астана қаласы,17134.0
2017Q2,urban,Almaty city,Алматы қаласы,10294.0
2017Q3,all,Akmola,Ақмола,34209.0
2017Q3,all,Aktobe,Ақтөбе,27671.0
2017Q3,all,Almaty oblast,Алматы,16101.0
2017Q3,all,Atyrau,Атырау,35614.0
2017Q3,all,West Kazakhstan,Батыс Қазақстан,34146.0
2017Q3,all,Zhambyl,Жамбыл,5504.0
2017Q3,all,Karaganda,Қарағанды,43122.0
2017Q3,all,Kostanay,Қостанай,18491.0
2017Q3,all,Kyzylorda,Қызылорда,28496.0
2017Q3,all,Mangistau,Маңғыстау,8929.0
2017Q3,all,Pavlodar,Павлодар,13372.0
2017Q3,all,North Kazakhstan,Солтүстік Қазақстан,20942.0
2017Q3,all,East Kazakhstan,Шығыс Қазақстан,23453.0
2017Q3,all,Astana,Астана қаласы,14346.0
2017Q3,all,Almaty city,Алматы қаласы,11335.0
2017Q3,urban,Akmola,Ақмола,40525.0
2017Q3,urban,Aktobe,Ақтөбе,24285.0
2017Q3,urban,Almaty oblast,Алматы,16822.0
2017Q3,urban,Atyrau,Атырау,43228.0
2017Q3,urban,West Kazakhstan,Батыс Қазақстан,51163.0
2017Q3,urban,Zhambyl,Жамбыл,6381.0
2017Q3,urban,Karaganda,Қарағанды,43346.0
2017Q3,urban,Kostanay,Қостанай,20730.0
2017Q3,urban,Kyzylorda,Қызылорда,38139.0
2017Q3,urban,Mangistau,Маңғыстау,7964.0
2017Q3,urban,Pavlodar,Павлодар,12420.0
2017Q3,urban,North Kazakhstan,Солтүстік Қазақстан,30439.0
2017Q3,urban,East Kazakhstan,Шығыс Қазақстан,29220.0
2017Q3,urban,Astana,Астана қаласы,14346.0
2017Q3,urban,Almaty city,Алматы қаласы,11335.0
2017Q4,all,Akmola,Ақмола,35039.0
2017Q4,all,Aktobe,Ақтөбе,22503.0
2017Q4,all,Almaty oblast,Алматы,15907.0
2017Q4,all,Atyrau,Атырау,39123.0
2017Q4,all,West Kazakhstan,Батыс Қазақстан,29275.0
2017Q4,all,Zhambyl,Жамбыл,5085.0
2017Q4,all,Karaganda,Қарағанды,42256.0
2017Q4,all,Kostanay,Қостанай,17801.0
2017Q4,all,Kyzylorda,Қызылорда,23752.0
2017Q4,all,Mangistau,Маңғыстау,5722.0
2017Q4,all,Pavlodar,Павлодар,11416.0
2017Q4,all,North Kazakhstan,Солтүстік Қазақстан,21998.0
2017Q4,all,East Kazakhstan,Шығыс Қазақстан,21525.0
2017Q4,all,Astana,Астана қаласы,19948.0
2017Q4,all,Almaty city,Алматы қаласы,11763.0
2017Q4,urban,Akmola,Ақмола,40725.0
2017Q4,urban,Aktobe,Ақтөбе,17778.0
2017Q4,urban,Almaty oblast,Алматы,18275.0
2017Q4,urban,Atyrau,Атырау,49238.0
2017Q4,urban,West Kazakhstan,Батыс Қазақстан,36071.0
2017Q4,urban,Zhambyl,Жамбыл,5758.0
2017Q4,urban,Karaganda,Қарағанды,41528.0
2017Q4,urban,Kostanay,Қостанай,20791.0
2017Q4,urban,Kyzylorda,Қызылорда,27874.0
2017Q4,urban,Mangistau,Маңғыстау,5486.0
2017Q4,urban,Pavlodar,Павлодар,10925.0
2017Q4,urban,North Kazakhstan,Солтүстік Қазақстан,34839.0
2017Q4,urban,East Kazakhstan,Шығыс Қазақстан,26934.0
2017Q4,urban,Astana,Астана қаласы,19948.0
2017Q4,urban,Almaty city,Алматы қаласы,11763.0
2018Q1,all,Akmola,Ақмола,33470.0
2018Q1,all,Aktobe,Ақтөбе,28077.0
2018Q1,all,Almaty oblast,Алматы,13903.0
2018Q1,all,Atyrau,Атырау,28294.0
2018Q1,all,West Kazakhstan,Батыс Қазақстан,31995.0
2018Q1,all,Zhambyl,Жамбыл,7435.0
2018Q1,all,Karaganda,Қарағанды,56338.0
2018Q1,all,Kostanay,Қостанай,20224.0
2018Q1,all,Kyzylorda,Қызылорда,26257.0
2018Q1,all,Mangistau,Маңғыстау,2479.0
2018Q1,all,Pavlodar,Павлодар,20658.0
2018Q1,all,North Kazakhstan,Солтүстік Қазақстан,25779.0
2018Q1,all,East Kazakhstan,Шығыс Қазақстан,29488.0
2018Q1,all,Astana,Астана қаласы,30483.0
2018Q1,all,Almaty city,Алматы қаласы,12958.0
2018Q1,urban,Akmola,Ақмола,43529.0
2018Q1,urban,Aktobe,Ақтөбе,23504.0
2018Q1,urban,Almaty oblast,Алматы,17500.0
2018Q1,urban,Atyrau,Атырау,45254.0
2018Q1,urban,West Kazakhstan,Батыс Қазақстан,35898.0
2018Q1,urban,Zhambyl,Жамбыл,9937.0
2018Q1,urban,Karaganda,Қарағанды,56082.0
2018Q1,urban,Kostanay,Қостанай,21695.0
2018Q1,urban,Kyzylorda,Қызылорда,23200.0
2018Q1,urban,Mangistau,Маңғыстау,…
2018Q1,urban,Pavlodar,Павлодар,19535.0
2018Q1,urban,North Kazakhstan,Солтүстік Қазақстан,42807.0
2018Q1,urban,East Kazakhstan,Шығыс Қазақстан,38799.0
2018Q1,urban,Astana,Астана қаласы,30483.0
2018Q1,urban,Almaty city,Алматы қаласы,12958.0
2018Q2,all,Akmola,Ақмола,35783.0
2018Q2,all,Aktobe,Ақтөбе,27560.0
2018Q2,all,Almaty oblast,Алматы,18157.0
2018Q2,all,Atyrau,Атырау,31234.0
2018Q2,all,West Kazakhstan,Батыс Қазақстан,35942.0
2018Q2,all,Zhambyl,Жамбыл,4319.0
2018Q2,all,Karaganda,Қарағанды,52914.0
2018Q2,all,Kostanay,Қостанай,20138.0
2018Q2,all,Kyzylorda,Қызылорда,23347.0
2018Q2,all,Mangistau,Маңғыстау,2842.0
2018Q2,all,Pavlodar,Павлодар,17181.0
2018Q2,all,North Kazakhstan,Солтүстік Қазақстан,27395.0
2018Q2,all,East Kazakhstan,Шығыс Қазақстан,26981.0
2018Q2,all,Astana,Астана қаласы,26145.0
2018Q2,all,Almaty city,Алматы қаласы,13118.0
2018Q2,urban,Akmola,Ақмола,43037.0
2018Q2,urban,Aktobe,Ақтөбе,24351.0
2018Q2,urban,Almaty oblast,Алматы,16979.0
2018Q2,urban,Atyrau,Атырау,49414.0
2018Q2,urban,West Kazakhstan,Батыс Қазақстан,43733.0
2018Q2,urban,Zhambyl,Жамбыл,3922.0
2018Q2,urban,Karaganda,Қарағанды,52647.0
2018Q2,urban,Kostanay,Қостанай,20473.0
2018Q2,urban,Kyzylorda,Қызылорда,19169.0
2018Q2,urban,Mangistau,Маңғыстау,1461.0
2018Q2,urban,Pavlodar,Павлодар,14424.0
2018Q2,urban,North Kazakhstan,Солтүстік Қазақстан,45896.0
2018Q2,urban,East Kazakhstan,Шығыс Қазақстан,35205.0
2018Q2,urban,Astana,Астана қаласы,26145.0
2018Q2,urban,Almaty city,Алматы қаласы,13118.0
2018Q3,all,Akmola,Ақмола,34742.0
2018Q3,all,Aktobe,Ақтөбе,28539.0
2018Q3,all,Almaty oblast,Алматы,21652.0
2018Q3,all,Atyrau,Атырау,34251.0
2018Q3,all,West Kazakhstan,Батыс Қазақстан,44692.0
2018Q3,all,Zhambyl,Жамбыл,6322.0
2018Q3,all,Karaganda,Қарағанды,51178.0
2018Q3,all,Kostanay,Қостанай,19093.0
2018Q3,all,Kyzylorda,Қызылорда,24425.0
2018Q3,all,Mangistau,Маңғыстау,1435.0
2018Q3,all,Pavlodar,Павлодар,16860.0
2018Q3,all,North Kazakhstan,Солтүстік Қазақстан,26158.0
2018Q3,all,East Kazakhstan,Шығыс Қазақстан,25235.0
2018Q3,all,Astana,Астана қаласы,29925.0
2018Q3,all,Almaty city,Алматы қаласы,11777.0
2018Q3,urban,Akmola,Ақмола,43932.0
2018Q3,urban,Aktobe,Ақтөбе,24313.0
2018Q3,urban,Almaty oblast,Алматы,24685.0
2018Q3,urban,Atyrau,Атырау,49296.0
2018Q3,urban,West Kazakhstan,Батыс Қазақстан,58229.0
2018Q3,urban,Zhambyl,Жамбыл,8706.0
2018Q3,urban,Karaganda,Қарағанды,50155.0
2018Q3,urban,Kostanay,Қостанай,19240.0
2018Q3,urban,Kyzylorda,Қызылорда,17720.0
2018Q3,urban,Mangistau,Маңғыстау,66.0
2018Q3,urban,Pavlodar,Павлодар,14842.0
2018Q3,urban,North Kazakhstan,Солтүстік Қазақстан,40116.0
2018Q3,urban,East Kazakhstan,Шығыс Қазақстан,33382.0
2018Q3,urban,Astana,Астана қаласы,29925.0
2018Q3,urban,Almaty city,Алматы қаласы,11777.0
2018Q4,all,Akmola,Ақмола,36641.0
2018Q4,all,Aktobe,Ақтөбе,25276.0
2018Q4,all,Almaty oblast,Алматы,21212.0
2018Q4,all,Atyrau,Атырау,31653.0
2018Q4,all,West Kazakhstan,Батыс Қазақстан,31542.0
2018Q4,all,Zhambyl,Жамбыл,9731.0
2018Q4,all,Karaganda,Қарағанды,50749.0
2018Q4,all,Kostanay,Қостанай,18752.0
2018Q4,all,Kyzylorda,Қызылорда,25382.0
2018Q4,all,Mangistau,Маңғыстау,1507.0
2018Q4,all,Pavlodar,Павлодар,17640.0
2018Q4,all,North Kazakhstan,Солтүстік Қазақстан,25654.0
2018Q4,all,East Kazakhstan,Шығыс Қазақстан,22676.0
2018Q4,all,Astana,Астана қаласы,28656.0
2018Q4,all,Almaty city,Алматы қаласы,13416.0
2018Q4,urban,Akmola,Ақмола,43620.0
2018Q4,urban,Aktobe,Ақтөбе,21241.0
2018Q4,urban,Almaty oblast,Алматы,20659.0
2018Q4,urban,Atyrau,Атырау,47478.0
2018Q4,urban,West Kazakhstan,Батыс Қазақстан,35691.0
2018Q4,urban,Zhambyl,Жамбыл,15892.0
2018Q4,urban,Karaganda,Қарағанды,50527.0
2018Q4,urban,Kostanay,Қостанай,17755.0
2018Q4,urban,Kyzylorda,Қызылорда,16532.0
2018Q4,urban,Mangistau,Маңғыстау,…
2018Q4,urban,Pavlodar,Павлодар,16309.0
2018Q4,urban,North Kazakhstan,Солтүстік Қазақстан,38455.0
2018Q4,urban,East Kazakhstan,Шығыс Қазақстан,30346.0
2018Q4,urban,Astana,Астана қаласы,28656.0
2018Q4,urban,Almaty city,Алматы қаласы,13416.0
2019Q1,all,Akmola,Ақмола,47308.0
2019Q1,all,Aktobe,Ақтөбе,33477.0
2019Q1,all,Almaty oblast,Алматы,25557.0
2019Q1,all,Atyrau,Атырау,34696.0
2019Q1,all,West Kazakhstan,Батыс Қазақстан,31826.0
2019Q1,all,Zhambyl,Жамбыл,25356.0
2019Q1,all,Karaganda,Қарағанды,65994.0
2019Q1,all,Kostanay,Қостанай,19875.0
2019Q1,all,Kyzylorda,Қызылорда,36762.0
2019Q1,all,Mangistau,Маңғыстау,2838.0
2019Q1,all,Pavlodar,Павлодар,27793.0
2019Q1,all,North Kazakhstan,Солтүстік Қазақстан,33524.0
2019Q1,all,East Kazakhstan,Шығыс Қазақстан,28907.0
2019Q1,all,Astana,Нұр-Сұлтан қаласы,33345.0
2019Q1,all,Almaty city,Алматы қаласы,21064.0
2019Q1,urban,Akmola,Ақмола,56181.0
